model,accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro,roc_auc_weighted_ovr,high_precision,high_recall,high_f1,param_C,param_class_weight,param_solver,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators
logistic_regression,0.8891928864569083,0.8894117826866812,0.8891928864569083,0.8886528912421492,0.8889729338347431,0.9765467175002374,0.8497409326424871,0.9010989010989011,0.8746666666666667,10.0,balanced,lbfgs,,,,,
logistic_regression,0.8891928864569083,0.8892240779804639,0.8891928864569083,0.8890251354125396,0.8883549766737682,0.9770646461201408,0.8901734104046243,0.8461538461538461,0.8676056338028169,5.0,,lbfgs,,,,,
logistic_regression,0.8891928864569083,0.8892240779804639,0.8891928864569083,0.8890251354125396,0.8883549766737682,0.9770176737180586,0.8901734104046243,0.8461538461538461,0.8676056338028169,10.0,,lbfgs,,,,,
logistic_regression,0.8878248974008208,0.8879705483635906,0.8878248974008208,0.8873067667858683,0.8882662321497273,0.9765551801606525,0.8549222797927462,0.9065934065934066,0.88,0.5,balanced,lbfgs,,,,,
random_forest,0.8878248974008208,0.8891070283016664,0.8878248974008208,0.8872747547821227,0.8880607164514074,0.9697075774018246,0.835820895522388,0.9230769230769231,0.8772845953002611,,balanced,,10.0,sqrt,2.0,8.0,200.0
random_forest,0.8878248974008208,0.8891070283016664,0.8878248974008208,0.8872747547821227,0.8880607164514074,0.9697075774018246,0.835820895522388,0.9230769230769231,0.8772845953002611,,balanced,,10.0,log2,2.0,8.0,200.0
logistic_regression,0.8878248974008208,0.8878942088588956,0.8878248974008208,0.8872829456077483,0.8879604207921581,0.9766812680857366,0.8541666666666666,0.9010989010989011,0.8770053475935828,2.0,balanced,lbfgs,,,,,
logistic_regression,0.8878248974008208,0.8882835421250946,0.8878248974008208,0.8871777822502276,0.8877557028720059,0.9766342088788428,0.8461538461538461,0.9065934065934066,0.8753315649867374,5.0,balanced,lbfgs,,,,,
logistic_regression,0.8864569083447332,0.886623402073049,0.8864569083447332,0.8858926024866797,0.886513401847251,0.9766986955804906,0.8497409326424871,0.9010989010989011,0.8746666666666667,1.0,balanced,lbfgs,,,,,
random_forest,0.8850889192886456,0.8859656706551922,0.8850889192886456,0.8845446070559564,0.8855427798895206,0.9701055744448649,0.8391959798994975,0.9175824175824175,0.8766404199475065,,balanced,,10.0,sqrt,2.0,8.0,400.0
random_forest,0.8850889192886456,0.8859656706551922,0.8850889192886456,0.8845446070559564,0.8855427798895206,0.9701055744448649,0.8391959798994975,0.9175824175824175,0.8766404199475065,,balanced,,10.0,log2,2.0,8.0,400.0
logistic_regression,0.8864569083447332,0.8863029542400153,0.8864569083447332,0.8862686316729386,0.8854575249506773,0.977042903078337,0.88,0.8461538461538461,0.8627450980392157,2.0,,lbfgs,,,,,
random_forest,0.8850889192886456,0.8849298641833558,0.8850889192886456,0.884925146723694,0.8845724652725352,0.9694614814469437,0.8806818181818182,0.8516483516483516,0.8659217877094972,,,,10.0,sqrt,2.0,8.0,200.0
random_forest,0.8850889192886456,0.8849298641833558,0.8850889192886456,0.884925146723694,0.8845724652725352,0.9694614814469437,0.8806818181818182,0.8516483516483516,0.8659217877094972,,,,10.0,log2,2.0,8.0,200.0
logistic_regression,0.8850889192886456,0.884772512029694,0.8850889192886456,0.8848261040966431,0.8845033319492428,0.9770200244570628,0.8806818181818182,0.8516483516483516,0.8659217877094972,0.5,,lbfgs,,,,,
random_forest,0.8850889192886456,0.8847069248215274,0.8850889192886456,0.8848482996597179,0.8843942214209989,0.9729743522733095,0.8715083798882681,0.8571428571428571,0.8642659279778393,,,,,sqrt,1.0,4.0,600.0
random_forest,0.8850889192886456,0.8847069248215274,0.8850889192886456,0.8848482996597179,0.8843942214209989,0.9729743522733095,0.8715083798882681,0.8571428571428571,0.8642659279778393,,,,,log2,1.0,4.0,600.0
random_forest,0.8837209302325582,0.8842251874947438,0.8837209302325582,0.8833605909056642,0.8840889228897547,0.9698240417464884,0.8418367346938775,0.9065934065934066,0.873015873015873,,balanced,,,sqrt,2.0,8.0,400.0
random_forest,0.8837209302325582,0.8842251874947438,0.8837209302325582,0.8833605909056642,0.8840889228897547,0.9698240417464884,0.8418367346938775,0.9065934065934066,0.873015873015873,,balanced,,,log2,2.0,8.0,400.0
random_forest,0.8837209302325582,0.8841969247459048,0.8837209302325582,0.883248994720243,0.8840098234819714,0.9695471340731867,0.8418367346938775,0.9065934065934066,0.873015873015873,,balanced,,10.0,sqrt,2.0,8.0,600.0
random_forest,0.8837209302325582,0.8841969247459048,0.8837209302325582,0.883248994720243,0.8840098234819714,0.9695471340731867,0.8418367346938775,0.9065934065934066,0.873015873015873,,balanced,,10.0,log2,2.0,8.0,600.0
random_forest,0.8837209302325582,0.883692629017635,0.8837209302325582,0.8834710164188656,0.8839186203338975,0.9719820143833022,0.8526315789473684,0.8901098901098901,0.8709677419354839,,balanced,,,sqrt,1.0,2.0,200.0
random_forest,0.8837209302325582,0.883692629017635,0.8837209302325582,0.8834710164188656,0.8839186203338975,0.9719820143833022,0.8526315789473684,0.8901098901098901,0.8709677419354839,,balanced,,,log2,1.0,2.0,200.0
random_forest,0.8837209302325582,0.883692629017635,0.8837209302325582,0.8834710164188656,0.8839186203338975,0.9717893286743292,0.8526315789473684,0.8901098901098901,0.8709677419354839,,balanced,,20.0,sqrt,1.0,2.0,200.0
random_forest,0.8837209302325582,0.883692629017635,0.8837209302325582,0.8834710164188656,0.8839186203338975,0.9717893286743292,0.8526315789473684,0.8901098901098901,0.8709677419354839,,balanced,,20.0,log2,1.0,2.0,200.0
random_forest,0.8837209302325582,0.8834037841861511,0.8837209302325582,0.8835040889565356,0.8834098388144794,0.970408915261696,0.8764044943820225,0.8571428571428571,0.8666666666666667,,,,,sqrt,2.0,2.0,200.0
random_forest,0.8837209302325582,0.8834037841861511,0.8837209302325582,0.8835040889565356,0.8834098388144794,0.970408915261696,0.8764044943820225,0.8571428571428571,0.8666666666666667,,,,,sqrt,2.0,4.0,200.0
random_forest,0.8837209302325582,0.8834037841861511,0.8837209302325582,0.8835040889565356,0.8834098388144794,0.970408915261696,0.8764044943820225,0.8571428571428571,0.8666666666666667,,,,,log2,2.0,2.0,200.0
random_forest,0.8837209302325582,0.8834037841861511,0.8837209302325582,0.8835040889565356,0.8834098388144794,0.970408915261696,0.8764044943820225,0.8571428571428571,0.8666666666666667,,,,,log2,2.0,4.0,200.0
logistic_regression,0.8837209302325582,0.8834334961079148,0.8837209302325582,0.8834495712560756,0.8829607201535404,0.9770611696143842,0.88,0.8461538461538461,0.8627450980392157,1.0,,lbfgs,,,,,
logistic_regression,0.8823529411764706,0.883095432569521,0.8823529411764706,0.8816440197051028,0.8826991122586921,0.9756379969601735,0.8383838383838383,0.9120879120879121,0.8736842105263158,0.1,balanced,lbfgs,,,,,
random_forest,0.8837209302325582,0.8833782241637239,0.8837209302325582,0.8835140149736188,0.8826690392949691,0.9728198237490686,0.8659217877094972,0.8516483516483516,0.8587257617728532,,,,,sqrt,1.0,4.0,400.0
random_forest,0.8837209302325582,0.8833782241637239,0.8837209302325582,0.8835140149736188,0.8826690392949691,0.9728198237490686,0.8659217877094972,0.8516483516483516,0.8587257617728532,,,,,log2,1.0,4.0,400.0
random_forest,0.8823529411764706,0.8827537089506221,0.8823529411764706,0.8820175538740691,0.8825978987390096,0.9698763170060021,0.841025641025641,0.9010989010989011,0.870026525198939,,balanced,,20.0,sqrt,2.0,8.0,400.0
random_forest,0.8823529411764706,0.8827537089506221,0.8823529411764706,0.8820175538740691,0.8825978987390096,0.9698763170060021,0.841025641025641,0.9010989010989011,0.870026525198939,,balanced,,20.0,log2,2.0,8.0,400.0
random_forest,0.8823529411764706,0.8827122924630418,0.8823529411764706,0.8819042306756473,0.8825173728380019,0.9703747308258807,0.841025641025641,0.9010989010989011,0.870026525198939,,balanced,,10.0,sqrt,1.0,4.0,600.0
random_forest,0.8823529411764706,0.8827122924630418,0.8823529411764706,0.8819042306756473,0.8825173728380019,0.9703747308258807,0.841025641025641,0.9010989010989011,0.870026525198939,,balanced,,10.0,log2,1.0,4.0,600.0
random_forest,0.8823529411764706,0.8831419209111444,0.8823529411764706,0.881921319629443,0.8824104532163742,0.9701601430767245,0.8333333333333334,0.9065934065934066,0.868421052631579,,balanced,,10.0,sqrt,2.0,2.0,200.0
random_forest,0.8823529411764706,0.8831419209111444,0.8823529411764706,0.881921319629443,0.8824104532163742,0.9701601430767245,0.8333333333333334,0.9065934065934066,0.868421052631579,,balanced,,10.0,sqrt,2.0,4.0,200.0
